,Origin,Destination,Refugees(and refugee-like),Total Pop
20,Afghanistan,Pakistan,1504912.0,1523363
21,Afghanistan,Iran (Islamic Rep. of),950000.0,954545
22,Afghanistan,Germany,27814.0,46837
23,Afghanistan,Sweden,12090.0,14353
24,Afghanistan,Austria,11906.0,11906
25,Afghanistan,India,10395.0,11908
26,Afghanistan,United Kingdom,9039.0,10933
27,Afghanistan,Italy,8991.0,10769
28,Afghanistan,Australia,7675.0,9022
29,Afghanistan,Netherlands,6244.0,6543
30,Afghanistan,Norway,5454.0,6006
31,Afghanistan,Belgium,5038.0,5803
32,Afghanistan,Turkey,4188.0,37296
33,Afghanistan,Switzerland,4119.0,5006
34,Afghanistan,France,3838.0,4262
35,Afghanistan,Canada,2704.0,2894
36,Afghanistan,Denmark,2130.0,2274
37,Afghanistan,Tajikistan,1975.0,2227
38,Afghanistan,Indonesia,1681.0,5856
39,Afghanistan,Ukraine,1544.0,3942
40,Afghanistan,Greece,1451.0,2225
41,Afghanistan,Finland,1443.0,1576
42,Afghanistan,Syrian Arab Rep.,1214.0,1465
43,Afghanistan,United States of America,1210.0,1622
44,Afghanistan,Russian Federation,1104.0,1338
45,Afghanistan,Hungary,819.0,3442
46,Afghanistan,Azerbaijan,618.0,779
47,Afghanistan,Kazakhstan,578.0,614
48,Afghanistan,Belarus,399.0,419
49,Afghanistan,Kyrgyzstan,386.0,519
50,Afghanistan,Slovakia,278.0,278
51,Afghanistan,Czech Rep.,228.0,235
52,Afghanistan,Bulgaria,212.0,2845
53,Afghanistan,Lithuania,186.0,232
54,Afghanistan,Malaysia,184.0,396
55,Afghanistan,Ireland,158.0,287
56,Afghanistan,Spain,144.0,275
57,Afghanistan,Uzbekistan,123.0,123
58,Afghanistan,Romania,120.0,159
59,Afghanistan,Ecuador,112.0,112
60,Afghanistan,Poland,93.0,97
61,Afghanistan,Brazil,52.0,70
62,Afghanistan,New Zealand,36.0,37
63,Afghanistan,Luxembourg,35.0,51
64,Afghanistan,Japan,34.0,48
65,Afghanistan,Sri Lanka,34.0,122
66,Afghanistan,Nauru,29.0,81
67,Afghanistan,Latvia,28.0,40
68,Afghanistan,Papua New Guinea,27.0,96
69,Afghanistan,Slovenia,23.0,34
70,Afghanistan,Croatia,21.0,28
71,Afghanistan,Lebanon,19.0,38
72,Afghanistan,Turkmenistan,19.0,19
73,Afghanistan,Rep. of Moldova,18.0,23
74,Afghanistan,Rep. of Korea,16.0,49
75,Afghanistan,Nepal,16.0,67
76,Afghanistan,Estonia,15.0,15
77,Afghanistan,Chile,14.0,14
78,Afghanistan,Iceland,11.0,21
79,Afghanistan,Portugal,10.0,12
80,Afghanistan,South Africa,10.0,16
81,Afghanistan,Jordan,8.0,19
82,Afghanistan,Thailand,8.0,52
83,Afghanistan,China,7.0,7
84,Afghanistan,Cyprus,7.0,19
85,Afghanistan,Fiji,7.0,8
86,Afghanistan,Rwanda,6.0,7
87,Afghanistan,Argentina,5.0,6
88,Afghanistan,Cuba,5.0,11
89,Afghanistan,Iraq,5.0,136
90,Afghanistan,Nigeria,5.0,5
91,Afghanistan,Philippines,5.0,5
0,Afghanistan,United Arab Emirates,0.0,0
1,Afghanistan,CíÇte d'Ivoire,0.0,0
2,Afghanistan,Colombia,0.0,0
3,Afghanistan,Costa Rica,0.0,0
4,Afghanistan,Cayman Islands,0.0,0
5,Afghanistan,Algeria,0.0,0
6,Afghanistan,Egypt,0.0,28
7,Afghanistan,Ethiopia,0.0,28
8,Afghanistan,Georgia,0.0,13
9,Afghanistan,"China, Hong Kong SAR",0.0,9
10,Afghanistan,Kenya,0.0,5
11,Afghanistan,Morocco,0.0,5
12,Afghanistan,Madagascar,0.0,5
13,Afghanistan,Mexico,0.0,8
14,Afghanistan,The former Yugoslav Republic of Macedonia,0.0,559
15,Afghanistan,Mongolia,0.0,559
16,Afghanistan,Mozambique,0.0,559
17,Afghanistan,Panama,0.0,9
18,Afghanistan,Chad,0.0,9
19,Afghanistan,Venezuela (Bolivarian Republic of),0.0,9
92,Afghanistan,Afghanistan,,1006693
93,Afghanistan,Bosnia and Herzegovina,,7
94,Afghanistan,Dominican Rep.,,7
95,Afghanistan,Libya,,7
96,Afghanistan,"China, Macao SAR",,7
97,Afghanistan,Saudi Arabia,,7
98,Afghanistan,Senegal,,9
99,Afghanistan,Serbia and Kosovo (S/RES/1244 (1999)),,58
116,Central African Rep.,Cameroon,220702.0,230106
117,Central African Rep.,Chad,91783.0,108310
118,Central African Rep.,Dem. Rep. of the Congo,68165.0,68231
119,Central African Rep.,Congo,21695.0,21833
120,Central African Rep.,Sudan,4113.0,4116
121,Central African Rep.,South Sudan,2040.0,2044
122,Central African Rep.,France,1004.0,1664
123,Central African Rep.,Mali,874.0,1241
124,Central African Rep.,Togo,337.0,505
125,Central African Rep.,CíÇte d'Ivoire,240.0,344
126,Central African Rep.,Benin,234.0,292
127,Central African Rep.,Mauritania,217.0,315
128,Central African Rep.,United States of America,215.0,298
129,Central African Rep.,Nigeria,77.0,189
130,Central African Rep.,Canada,67.0,76
131,Central African Rep.,Guinea,43.0,43
132,Central African Rep.,Burkina Faso,40.0,213
133,Central African Rep.,Italy,32.0,56
134,Central African Rep.,Belgium,19.0,35
135,Central African Rep.,Gabon,18.0,258
136,Central African Rep.,Uganda,14.0,15
137,Central African Rep.,Niger,11.0,94
138,Central African Rep.,Ireland,10.0,10
139,Central African Rep.,Angola,9.0,85
140,Central African Rep.,Switzerland,9.0,11
141,Central African Rep.,United Kingdom,9.0,14
142,Central African Rep.,Netherlands,8.0,11
143,Central African Rep.,South Africa,8.0,15
144,Central African Rep.,Greece,7.0,8
145,Central African Rep.,Norway,7.0,7
146,Central African Rep.,Romania,6.0,7
147,Central African Rep.,Morocco,5.0,102
100,Central African Rep.,Argentina,,58
101,Central African Rep.,Australia,,58
102,Central African Rep.,Brazil,,58
103,Central African Rep.,Cyprus,,58
104,Central African Rep.,Algeria,,52
105,Central African Rep.,Egypt,,6
106,Central African Rep.,Spain,,23
107,Central African Rep.,Finland,,23
108,Central African Rep.,"China, Hong Kong SAR",,15
109,Central African Rep.,Israel,,15
110,Central African Rep.,Luxembourg,,15
111,Central African Rep.,Nicaragua,,15
112,Central African Rep.,Portugal,,15
113,Central African Rep.,Sweden,,15
114,Central African Rep.,Tunisia,,5
115,Central African Rep.,Turkey,,17
148,Central African Rep.,Burundi,,5
149,Central African Rep.,Bulgaria,,5
150,Central African Rep.,Bosnia and Herzegovina,,5
151,Central African Rep.,Central African Rep.,,1049441
152,Central African Rep.,Germany,,40
153,Central African Rep.,Denmark,,40
154,Central African Rep.,Ghana,,205
155,Central African Rep.,Guinea-Bissau,,7
156,Central African Rep.,Hungary,,7
157,Central African Rep.,Indonesia,,7
158,Central African Rep.,Jordan,,7
159,Central African Rep.,Kenya,,7
160,Central African Rep.,Liberia,,7
161,Central African Rep.,Madagascar,,7
162,Central African Rep.,The former Yugoslav Republic of Macedonia,,7
163,Central African Rep.,Mozambique,,7
164,Central African Rep.,Malaysia,,5
165,Central African Rep.,Rwanda,,5
166,Central African Rep.,Senegal,,501
167,Central African Rep.,Swaziland,,501
168,Central African Rep.,Zambia,,501
179,Colombia,Venezuela (Bolivarian Republic of),173519.0,173770
180,Colombia,Ecuador,121317.0,121322
181,Colombia,Costa Rica,16623.0,16831
182,Colombia,Canada,16428.0,16702
183,Colombia,Panama,15551.0,16346
184,Colombia,United States of America,10552.0,12296
185,Colombia,Brazil,1200.0,1371
186,Colombia,Chile,996.0,1465
187,Colombia,Argentina,551.0,692
188,Colombia,Peru,507.0,706
189,Colombia,Italy,475.0,501
190,Colombia,France,470.0,555
191,Colombia,Spain,364.0,391
192,Colombia,Switzerland,302.0,307
193,Colombia,Netherlands,273.0,275
194,Colombia,Mexico,255.0,334
195,Colombia,Bolivia (Plurinational State of),184.0,187
196,Colombia,Australia,135.0,206
197,Colombia,Uruguay,130.0,137
198,Colombia,United Kingdom,105.0,122
199,Colombia,Portugal,77.0,83
200,Colombia,Germany,63.0,117
201,Colombia,Sweden,41.0,67
202,Colombia,Paraguay,39.0,40
203,Colombia,Belgium,28.0,34
204,Colombia,Curaí_ao,27.0,40
205,Colombia,Austria,19.0,19
206,Colombia,Norway,16.0,17
207,Colombia,Nicaragua,10.0,10
208,Colombia,New Zealand,10.0,12
209,Colombia,Trinidad and Tobago,8.0,16
210,Colombia,Guatemala,6.0,8
169,Colombia,Dominican Rep.,,501
170,Colombia,Finland,,501
171,Colombia,Honduras,,501
172,Colombia,Hungary,,501
173,Colombia,Israel,,501
174,Colombia,Latvia,,501
175,Colombia,Romania,,501
176,Colombia,El Salvador,,501
177,Colombia,Turks and Caicos Islands,,501
178,Colombia,South Africa,,501
211,Colombia,Aruba,,8
212,Colombia,Colombia,,6044163
213,Colombia,"China, Hong Kong SAR",,24
214,Colombia,Iceland,,5
215,Colombia,Morocco,,5
216,Colombia,Slovenia,,5
242,Eritrea,Ethiopia,123784.0,123893
243,Eritrea,Sudan,109196.0,110312
244,Eritrea,Israel,32668.0,32668
245,Eritrea,Switzerland,16091.0,22556
246,Eritrea,Sweden,14107.0,21198
247,Eritrea,Italy,13357.0,13671
248,Eritrea,United Kingdom,11583.0,13243
249,Eritrea,Norway,11202.0,12871
250,Eritrea,Netherlands,6294.0,6485
251,Eritrea,Germany,4716.0,20535
252,Eritrea,United States of America,3868.0,4347
253,Eritrea,Uganda,2600.0,9508
254,Eritrea,South Africa,2219.0,2523
255,Eritrea,Canada,1750.0,1866
256,Eritrea,France,1671.0,2161
257,Eritrea,Egypt,1625.0,2735
258,Eritrea,Kenya,1333.0,1566
259,Eritrea,Yemen,1254.0,1611
260,Eritrea,Malta,950.0,957
261,Eritrea,Libya,485.0,4719
262,Eritrea,Saudi Arabia,376.0,376
263,Eritrea,Denmark,319.0,1587
264,Eritrea,Djibouti,303.0,1240
265,Eritrea,Greece,201.0,300
266,Eritrea,Belgium,130.0,403
267,Eritrea,Australia,109.0,137
268,Eritrea,Austria,101.0,101
269,Eritrea,Turkey,59.0,201
270,Eritrea,Spain,48.0,52
271,Eritrea,India,47.0,56
272,Eritrea,Tunisia,43.0,49
273,Eritrea,Ireland,42.0,65
274,Eritrea,Hungary,40.0,51
275,Eritrea,Chad,38.0,45
276,Eritrea,Syrian Arab Rep.,34.0,43
277,Eritrea,Somalia,33.0,59
278,Eritrea,Portugal,29.0,33
279,Eritrea,Brazil,25.0,35
280,Eritrea,Finland,25.0,32
281,Eritrea,Luxembourg,22.0,75
282,Eritrea,Slovakia,22.0,22
283,Eritrea,Angola,19.0,1803
284,Eritrea,Poland,19.0,23
285,Eritrea,Ukraine,17.0,50
286,Eritrea,Zimbabwe,16.0,16
287,Eritrea,Indonesia,14.0,25
288,Eritrea,Liechtenstein,14.0,18
289,Eritrea,Zambia,13.0,13
290,Eritrea,Jordan,12.0,46
291,Eritrea,Czech Rep.,11.0,11
292,Eritrea,Ecuador,11.0,11
293,Eritrea,Lebanon,10.0,40
294,Eritrea,Lithuania,10.0,10
295,Eritrea,Romania,10.0,10
296,Eritrea,Ghana,7.0,20
297,Eritrea,Mexico,7.0,11
298,Eritrea,New Zealand,7.0,7
299,Eritrea,Bulgaria,5.0,21
300,Eritrea,Cyprus,5.0,5
301,Eritrea,Iceland,5.0,10
302,Eritrea,Kuwait,5.0,28
303,Eritrea,Malaysia,5.0,8
304,Eritrea,Slovenia,5.0,5
217,Eritrea,Argentina,,5
218,Eritrea,Benin,,5
219,Eritrea,Burkina Faso,,5
220,Eritrea,China,,5
221,Eritrea,CíÇte d'Ivoire,,5
222,Eritrea,Cameroon,,5
223,Eritrea,Colombia,,11
224,Eritrea,Costa Rica,,11
225,Eritrea,Algeria,,11
226,Eritrea,Fiji,,11
227,Eritrea,Guinea,,11
228,Eritrea,Gambia,,11
229,Eritrea,"China, Hong Kong SAR",,7
230,Eritrea,Croatia,,7
231,Eritrea,Rep. of Korea,,7
232,Eritrea,Liberia,,7
233,Eritrea,Sri Lanka,,7
234,Eritrea,Lesotho,,7
235,Eritrea,Latvia,,7
236,Eritrea,Rep. of Moldova,,7
237,Eritrea,Namibia,,7
238,Eritrea,Nigeria,,20
239,Eritrea,Philippines,,5
240,Eritrea,Russian Federation,,5
241,Eritrea,Rwanda,,5
305,Eritrea,Albania,,5
306,Eritrea,United Arab Emirates,,5
307,Eritrea,Dem. Rep. of the Congo,,5
308,Eritrea,Eritrea,,21
309,Eritrea,Estonia,,21
310,Eritrea,Iraq,,21
311,Eritrea,Cambodia,,21
312,Eritrea,Morocco,,21
313,Eritrea,The former Yugoslav Republic of Macedonia,,15
314,Eritrea,Montenegro,,19
315,Eritrea,Mozambique,,19
316,Eritrea,Panama,,39
317,Eritrea,Senegal,,39
318,Eritrea,Sierra Leone,,39
319,Eritrea,Serbia and Kosovo (S/RES/1244 (1999)),,48
320,Eritrea,South Sudan,,17
321,Eritrea,Swaziland,,17
322,Eritrea,Thailand,,6
346,Iraq,Syrian Arab Rep.,146200.0,152646
347,Iraq,Germany,41167.0,51851
348,Iraq,Iran (Islamic Rep. of),32000.0,32281
349,Iraq,Jordan,29263.0,45325
350,Iraq,Sweden,24184.0,26849
351,Iraq,Turkey,17542.0,72181
352,Iraq,Netherlands,14396.0,15101
353,Iraq,Lebanon,5986.0,11535
354,Iraq,United States of America,5284.0,7235
355,Iraq,Norway,5190.0,5836
356,Iraq,Egypt,5149.0,6976
357,Iraq,Switzerland,3751.0,4154
358,Iraq,Finland,3607.0,4094
359,Iraq,Yemen,3391.0,3610
360,Iraq,Belgium,3357.0,3881
361,Iraq,Australia,3121.0,3961
362,Iraq,France,2991.0,3401
363,Iraq,Austria,2966.0,3322
364,Iraq,United Kingdom,2951.0,4675
365,Iraq,Italy,2913.0,3577
366,Iraq,Libya,2520.0,3297
367,Iraq,Canada,1643.0,1976
368,Iraq,Greece,1242.0,1789
369,Iraq,Bulgaria,1207.0,1805
370,Iraq,Armenia,979.0,979
371,Iraq,Denmark,967.0,1073
372,Iraq,Cyprus,682.0,1085
373,Iraq,Malaysia,563.0,945
374,Iraq,Kuwait,438.0,728
375,Iraq,Ireland,379.0,431
376,Iraq,United Arab Emirates,348.0,979
377,Iraq,Romania,323.0,382
378,Iraq,Bahrain,303.0,342
379,Iraq,Brazil,233.0,288
380,Iraq,Hungary,220.0,392
381,Iraq,Luxembourg,204.0,244
382,Iraq,Spain,190.0,340
383,Iraq,New Zealand,178.0,548
384,Iraq,Indonesia,173.0,1604
385,Iraq,Czech Rep.,163.0,175
386,Iraq,Poland,154.0,169
387,Iraq,Oman,143.0,396
388,Iraq,Georgia,127.0,842
389,Iraq,India,115.0,288
390,Iraq,Qatar,110.0,196
391,Iraq,Slovakia,101.0,101
392,Iraq,Morocco,96.0,112
393,Iraq,Ukraine,81.0,322
394,Iraq,Thailand,58.0,212
395,Iraq,Pakistan,43.0,53
396,Iraq,Ecuador,36.0,36
397,Iraq,Saudi Arabia,32.0,130
398,Iraq,Mexico,31.0,36
399,Iraq,Mauritania,28.0,28
400,Iraq,Argentina,26.0,27
401,Iraq,Malta,26.0,26
402,Iraq,South Africa,26.0,63
403,Iraq,Philippines,21.0,37
404,Iraq,Lithuania,18.0,22
405,Iraq,Peru,17.0,17
406,Iraq,Tunisia,17.0,39
407,Iraq,Bolivia (Plurinational State of),16.0,16
408,Iraq,Algeria,16.0,26
409,Iraq,Sudan,16.0,30
410,Iraq,Azerbaijan,15.0,26
411,Iraq,Russian Federation,13.0,40
412,Iraq,Ghana,11.0,14
413,Iraq,Belarus,9.0,9
414,Iraq,Israel,9.0,9
415,Iraq,Rep. of Moldova,9.0,10
416,Iraq,Nauru,9.0,42
417,Iraq,Papua New Guinea,8.0,8
418,Iraq,China,7.0,14
419,Iraq,Rep. of Korea,7.0,39
420,Iraq,Portugal,7.0,7
421,Iraq,Croatia,6.0,6
422,Iraq,Niger,6.0,6
423,Iraq,Paraguay,6.0,6
424,Iraq,Latvia,5.0,19
425,Iraq,Togo,5.0,5
323,Iraq,Afghanistan,,6
324,Iraq,Albania,,6
325,Iraq,Benin,,6
326,Iraq,Bangladesh,,6
327,Iraq,Bosnia and Herzegovina,,5
328,Iraq,Chile,,5
329,Iraq,Colombia,,5
330,Iraq,Djibouti,,7
331,Iraq,Dominican Rep.,,7
332,Iraq,Estonia,,7
333,Iraq,Ethiopia,,7
334,Iraq,Gambia,,7
335,Iraq,Iceland,,12
336,Iraq,Japan,,9
337,Iraq,Liberia,,9
338,Iraq,Liechtenstein,,9
339,Iraq,Montenegro,,9
340,Iraq,Nepal,,9
341,Iraq,Serbia and Kosovo (S/RES/1244 (1999)),,9
342,Iraq,Slovenia,,10
343,Iraq,Tajikistan,,10
344,Iraq,Uruguay,,10
345,Iraq,Venezuela (Bolivarian Republic of),,10
426,Iraq,Angola,,5
427,Iraq,Iraq,,3736338
428,Iraq,Kazakhstan,,2312
429,Iraq,Kenya,,2312
430,Iraq,Cambodia,,2312
431,Iraq,Sri Lanka,,2312
432,Iraq,The former Yugoslav Republic of Macedonia,,8
433,Iraq,Nigeria,,8
434,Iraq,Senegal,,8
435,Iraq,Turkmenistan,,31
436,Iraq,Uganda,,31
437,Iraq,Zambia,,31
463,Somalia,Kenya,424691.0,427798
464,Somalia,Ethiopia,245097.0,248520
465,Somalia,Yemen,244204.0,246191
466,Somalia,South Africa,40133.0,43493
467,Somalia,Sweden,21189.0,25096
468,Somalia,Djibouti,19720.0,19782
469,Somalia,Netherlands,18687.0,18839
470,Somalia,Uganda,17010.0,28005
471,Somalia,Italy,12213.0,12644
472,Somalia,Norway,8901.0,9510
473,Somalia,United Kingdom,8509.0,9077
474,Somalia,Egypt,5733.0,7365
475,Somalia,Switzerland,4279.0,4981
476,Somalia,Germany,4205.0,12591
477,Somalia,Canada,2821.0,3025
478,Somalia,Finland,2817.0,3088
479,Somalia,Eritrea,2758.0,2770
480,Somalia,Turkey,2389.0,3410
481,Somalia,Zambia,2314.0,2610
482,Somalia,Austria,2278.0,2278
483,Somalia,Malta,2270.0,2277
484,Somalia,United States of America,2263.0,2614
485,Somalia,France,1896.0,2411
486,Somalia,Denmark,1134.0,1363
487,Somalia,Malaysia,850.0,1097
488,Somalia,India,654.0,732
489,Somalia,Syrian Arab Rep.,630.0,638
490,Somalia,Belgium,625.0,907
491,Somalia,Jordan,598.0,795
492,Somalia,Ireland,503.0,561
493,Somalia,Hungary,496.0,529
494,Somalia,Pakistan,412.0,446
495,Somalia,Botswana,374.0,416
496,Somalia,Spain,374.0,458
497,Somalia,Indonesia,322.0,755
498,Somalia,Angola,272.0,2024
499,Somalia,Slovakia,185.0,185
500,Somalia,Sudan,181.0,220
501,Somalia,Libya,164.0,2332
502,Somalia,Greece,163.0,215
503,Somalia,United Rep. of Tanzania,150.0,150
504,Somalia,China,120.0,196
505,Somalia,Ukraine,118.0,425
506,Somalia,Kuwait,94.0,651
507,Somalia,Mozambique,89.0,2411
508,Somalia,Tunisia,81.0,106
509,Somalia,Australia,73.0,128
510,Somalia,Thailand,72.0,342
511,Somalia,Poland,59.0,59
512,Somalia,Bulgaria,56.0,87
513,Somalia,Portugal,46.0,49
514,Somalia,Brazil,45.0,250
515,Somalia,Malawi,45.0,61
516,Somalia,Nauru,43.0,69
517,Somalia,"China, Hong Kong SAR",42.0,80
518,Somalia,Slovenia,41.0,41
519,Somalia,Ghana,38.0,61
520,Somalia,Cyprus,33.0,67
521,Somalia,Luxembourg,33.0,51
522,Somalia,Dem. Rep. of the Congo,31.0,119
523,Somalia,Lebanon,31.0,45
524,Somalia,New Zealand,30.0,31
525,Somalia,Liechtenstein,28.0,49
526,Somalia,Swaziland,25.0,54
527,Somalia,Czech Rep.,22.0,22
528,Somalia,Lithuania,22.0,22
529,Somalia,United Arab Emirates,21.0,21
530,Somalia,Romania,21.0,24
531,Somalia,Saudi Arabia,21.0,40
532,Somalia,Nepal,20.0,21
533,Somalia,Burundi,19.0,25
534,Somalia,Costa Rica,15.0,21
535,Somalia,Zimbabwe,13.0,34
536,Somalia,Croatia,12.0,14
537,Somalia,Chad,12.0,36
538,Somalia,Colombia,11.0,13
539,Somalia,Namibia,9.0,13
540,Somalia,Niger,9.0,9
541,Somalia,Qatar,8.0,8
542,Somalia,Ecuador,7.0,7
543,Somalia,Latvia,7.0,8
544,Somalia,Bangladesh,6.0,9
545,Somalia,Philippines,6.0,15
546,Somalia,Papua New Guinea,6.0,50
547,Somalia,Argentina,5.0,5
548,Somalia,Guinea,5.0,5
549,Somalia,Iceland,5.0,5
438,Somalia,Benin,,31
439,Somalia,Bosnia and Herzegovina,,31
440,Somalia,Belarus,,31
441,Somalia,Chile,,31
442,Somalia,Algeria,,31
443,Somalia,Estonia,,31
444,Somalia,Fiji,,31
445,Somalia,Gabon,,31
446,Somalia,Gambia,,31
447,Somalia,Iraq,,9
448,Somalia,Japan,,9
449,Somalia,Kazakhstan,,9
450,Somalia,Cambodia,,9
451,Somalia,Rep. of Korea,,9
452,Somalia,Liberia,,9
453,Somalia,Sri Lanka,,9
454,Somalia,Mauritania,,9
455,Somalia,Nigeria,,9
456,Somalia,Panama,,105
457,Somalia,Peru,,105
458,Somalia,Rwanda,,8
459,Somalia,Senegal,,10
460,Somalia,Serbia and Kosovo (S/RES/1244 (1999)),,33
461,Somalia,Togo,,33
462,Somalia,Uruguay,,33
550,Somalia,Cuba,,5
551,Somalia,Morocco,,8
552,Somalia,Madagascar,,8
553,Somalia,Mexico,,7
554,Somalia,The former Yugoslav Republic of Macedonia,,59
555,Somalia,Russian Federation,,59
556,Somalia,Somalia,,1145792
557,Somalia,South Sudan,,18
558,Somalia,Venezuela (Bolivarian Republic of),,15
